tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
4577.00;end_private_0;1000.00;13.29;4149.00;69.00;start_private_0;5.10;0.00;tripinfo_car23;428.00;car23;0;4995.30;0.99;0.00;65.74;car;;0;0.00
4579.00;end_private_0;1000.00;12.72;4152.00;72.00;start_private_0;5.10;0.00;tripinfo_car24;427.00;car24;0;4995.30;0.98;0.00;60.48;car;;0;0.00
4579.00;end_public_0;1000.00;12.32;4149.00;69.00;start_public_0;20.10;0.00;tripinfo_bus14;430.00;bus14;0;4980.30;0.89;0.00;25.14;bus;;0;0.00
4581.00;end_private_0;1000.00;14.30;4155.00;75.00;start_private_0;5.10;0.00;tripinfo_car25;426.00;car25;0;4995.30;1.08;0.00;93.39;car;;0;0.00
4581.00;end_public_0;1000.00;15.19;4154.00;74.00;start_public_0;20.10;0.00;tripinfo_bus15;427.00;bus15;0;4980.30;1.18;0.00;122.64;bus;;0;0.00
4582.00;end_private_0;1000.00;16.91;4158.00;78.00;start_private_0;5.10;0.00;tripinfo_car26;424.00;car26;0;4995.30;1.24;0.00;134.03;car;;0;0.00
4584.00;end_private_0;1000.00;13.93;4161.00;81.00;start_private_0;5.10;0.00;tripinfo_car27;423.00;car27;0;4995.30;1.06;0.00;83.71;car;;0;0.00
4584.00;end_public_0;1000.00;14.40;4159.00;79.00;start_public_0;20.10;0.00;tripinfo_bus16;425.00;bus16;0;4980.30;1.13;0.00;106.28;bus;;0;0.00
4586.00;end_private_0;1000.00;15.10;4164.00;84.00;start_private_0;5.10;0.00;tripinfo_car28;422.00;car28;0;4995.30;1.09;0.00;90.62;car;;0;0.00
4587.00;end_public_0;1000.00;13.11;4164.00;84.00;start_public_0;20.10;0.00;tripinfo_bus17;423.00;bus17;0;4980.30;1.02;0.00;72.39;bus;;0;0.00
4588.00;end_private_0;1000.00;12.04;4167.00;87.00;start_private_0;5.10;0.00;tripinfo_car29;421.00;car29;0;4995.30;0.94;0.00;39.98;car;;0;0.00
4590.00;end_private_0;1000.00;13.91;4170.00;90.00;start_private_0;5.10;0.00;tripinfo_car30;420.00;car30;0;4995.30;1.08;0.00;87.42;car;;0;0.00
4590.00;end_public_0;1000.00;13.70;4169.00;89.00;start_public_0;20.10;0.00;tripinfo_bus18;421.00;bus18;0;4980.30;0.99;0.00;59.77;bus;;0;0.00
4592.00;end_private_0;1000.00;14.10;4173.00;93.00;start_private_0;5.10;0.00;tripinfo_car31;419.00;car31;0;4995.30;1.04;0.00;73.80;car;;0;0.00
4593.00;end_private_0;1000.00;15.16;4176.00;96.00;start_private_0;5.10;0.00;tripinfo_car32;417.00;car32;0;4995.30;1.16;0.00;107.53;car;;0;0.00
4593.00;end_public_0;1000.00;13.06;4174.00;94.00;start_public_0;20.10;0.00;tripinfo_bus19;419.00;bus19;0;4980.30;0.99;0.00;56.05;bus;;0;0.00
4595.00;end_private_0;1000.00;15.65;4179.00;99.00;start_private_0;5.10;0.00;tripinfo_car33;416.00;car33;0;4995.30;1.13;0.00;97.62;car;;0;0.00
4596.00;end_public_0;1000.00;13.82;4179.00;99.00;start_public_0;20.10;0.00;tripinfo_bus20;417.00;bus20;0;4980.30;1.02;0.00;64.84;bus;;0;0.00
4597.00;end_private_0;1000.00;15.22;4182.00;102.00;start_private_0;5.10;0.00;tripinfo_car34;415.00;car34;0;4995.30;1.18;0.00;109.07;car;;0;0.00
4599.00;end_public_0;1000.00;15.21;4184.00;104.00;start_public_0;20.10;0.00;tripinfo_bus21;415.00;bus21;0;4980.30;1.13;0.00;97.11;bus;;0;0.00
4602.00;end_public_0;1000.00;13.40;4189.00;109.00;start_public_0;20.10;0.00;tripinfo_bus22;413.00;bus22;0;4980.30;0.97;0.00;42.49;bus;;0;0.00
4605.00;end_public_0;1000.00;13.34;4194.00;114.00;start_public_0;20.10;0.00;tripinfo_bus23;411.00;bus23;0;4980.30;0.97;0.00;39.62;bus;;0;0.00
4613.00;end_public_0;1000.00;12.43;4199.00;119.00;start_public_0;20.10;0.00;tripinfo_bus24;414.00;bus24;0;4980.30;0.92;0.00;21.95;bus;;0;0.00
4616.00;end_public_0;1000.00;15.01;4204.00;124.00;start_public_0;20.10;0.00;tripinfo_bus25;412.00;bus25;0;4980.30;1.10;0.00;84.66;bus;;0;0.00
4632.00;end_private_0;1000.00;11.37;4185.00;105.00;start_private_0;5.10;0.00;tripinfo_car35;447.00;car35;0;4995.30;0.85;0.00;25.78;car;;0;0.00
